gene_set_id	gene_set_layer	gene_set_name	gmt_path	source	enabled	notes
T_CELL_INFLAMED_GEP_18	L1_ICB_PREDICTOR	T cell-inflamed gene expression profile	inputs/gene_sets/T_CELL_INFLAMED_GEP_18.gmt	Ayers et al. IFNG/T-cell inflamed GEP	true	Layer 1 ICB predictor
C7_T_CELL_EXHAUSTION_CORE	L2_C7_EXHAUSTION	T-cell exhaustion and checkpoint core	inputs/gene_sets/exhaustion_layer/C7_T_CELL_EXHAUSTION_CORE.gmt	Curated C7-style exhaustion/checkpoint module	true	Layer 2 exhaustion proxy
HALLMARK_IMMUNE_RESPONSE_MINI	L3_HALLMARK	Hallmark immune response mini panel	inputs/gene_sets/hallmark_layer/HALLMARK_IMMUNE_RESPONSE_MINI.gmt	Compact local Hallmark proxies	true	Layer 3 Hallmark proxy for local reproducibility
EPIGENETIC_IMMUNE_PRIMING	L4_EPIGENETIC	Epigenetic immune priming and checkpoint regulation	inputs/gene_sets/epigenetic_layer/EPIGENETIC_IMMUNE_PRIMING.gmt	Spec 007 curated epigenetic immune layer	true	Layer 4 epigenetic mechanism layer
HOPE_18	L5_HOPE_18	HOPE 18 immune subtype genes	inputs/gene_sets/HOPE_18.gmt	HOPE project 18-gene immune classifier	true	Layer 5 HOPE-18 scoring
CORE_ENRICHED_C7_T_CELL_EXHAUSTION_CORE	L2_C7_EXHAUSTION_SOURCE_ENRICHED	Source-enriched C7_T_CELL_EXHAUSTION_CORE	inputs/gene_sets/core_enriched_atlas/msigdb_overlap_unique_20260605/CORE_ENRICHED_C7_T_CELL_EXHAUSTION_CORE.gmt	MSigDB/msigdbr hypergeometric overlap to original core seed	true	Seed=C7_T_CELL_EXHAUSTION_CORE; selected_sets=40; min_overlap=3; max_q=0.1; no manual source genes.
CORE_ENRICHED_DNMT_IMMUNE_LOCI	L4_EPIGENETIC_SOURCE_ENRICHED	Source-enriched DNMT_IMMUNE_LOCI	inputs/gene_sets/core_enriched_atlas/msigdb_overlap_unique_20260605/CORE_ENRICHED_DNMT_IMMUNE_LOCI.gmt	MSigDB/msigdbr hypergeometric overlap to original core seed	true	Seed=DNMT_IMMUNE_LOCI; selected_sets=40; min_overlap=3; max_q=0.1; no manual source genes.
CORE_ENRICHED_EPIGENETIC_CHECKPOINT_REGULATION	L4_EPIGENETIC_SOURCE_ENRICHED	Source-enriched EPIGENETIC_CHECKPOINT_REGULATION	inputs/gene_sets/core_enriched_atlas/msigdb_overlap_unique_20260605/CORE_ENRICHED_EPIGENETIC_CHECKPOINT_REGULATION.gmt	MSigDB/msigdbr hypergeometric overlap to original core seed	true	Seed=EPIGENETIC_CHECKPOINT_REGULATION; selected_sets=40; min_overlap=3; max_q=0.1; no manual source genes.
CORE_ENRICHED_EPIGENETIC_IMMUNE_PRIMING	L4_EPIGENETIC_SOURCE_ENRICHED	Source-enriched EPIGENETIC_IMMUNE_PRIMING	inputs/gene_sets/core_enriched_atlas/msigdb_overlap_unique_20260605/CORE_ENRICHED_EPIGENETIC_IMMUNE_PRIMING.gmt	MSigDB/msigdbr hypergeometric overlap to original core seed	true	Seed=EPIGENETIC_IMMUNE_PRIMING; selected_sets=40; min_overlap=3; max_q=0.1; no manual source genes.
CORE_ENRICHED_HALLMARK_INTERFERON_GAMMA_RESPONSE_MINI	L3_HALLMARK_SOURCE_ENRICHED	Source-enriched HALLMARK_INTERFERON_GAMMA_RESPONSE_MINI	inputs/gene_sets/core_enriched_atlas/msigdb_overlap_unique_20260605/CORE_ENRICHED_HALLMARK_INTERFERON_GAMMA_RESPONSE_MINI.gmt	MSigDB/msigdbr hypergeometric overlap to original core seed	true	Seed=HALLMARK_INTERFERON_GAMMA_RESPONSE_MINI; selected_sets=40; min_overlap=3; max_q=0.1; no manual source genes.
