candidate_id	source_stream	cancer_type	therapy_context	comparison_type	resolved_accession	publication	proposed_role	notes
timer_braun_2020_pre_response	Publication/Controlled	Renal cell carcinoma	anti-PD-1 and EVEROLIMUS	PRE_RESPONSE	Braun_2020	https://pubmed.ncbi.nlm.nih.gov/32472114/	discovery	TIMER R/NR list; dataset_size=311; responders=44; nonresponders=237
timer_e_mtab_6270_pre_response	ArrayExpress	Brain Lower Grade Glioma	Peptide-vaccine	PRE_RESPONSE	E-MTAB-6270	https://pubmed.ncbi.nlm.nih.gov/29618666/	discovery	TIMER R/NR list; dataset_size=12; responders=5; nonresponders=7
timer_gse100797_pre_response	GEO	Melanoma	ACT	PRE_RESPONSE	GSE100797	https://pubmed.ncbi.nlm.nih.gov/28487385/	discovery	TIMER R/NR list; dataset_size=25; responders=10; nonresponders=15
timer_gse106128_pre_response	GEO	Melanoma	DCs_treated	PRE_RESPONSE	GSE106128	https://pubmed.ncbi.nlm.nih.gov/29682201/	discovery	TIMER R/NR list; dataset_size=47; responders=21; nonresponders=14
timer_gse106128_treatment_delta	GEO	Melanoma	DCs_treated	TREATMENT_DELTA	GSE106128	https://pubmed.ncbi.nlm.nih.gov/29682201/	discovery	TIMER pre/post list; dataset_size=47; pre=8; post=39
timer_gse115821_pre_response	GEO	Melanoma	anti-CTLA-4+anti-PD-1	PRE_RESPONSE	GSE115821	https://pubmed.ncbi.nlm.nih.gov/30127394/	discovery	TIMER R/NR list; dataset_size=37; responders=3; nonresponders=34
timer_gse115821_treatment_delta	GEO	Melanoma	anti-CTLA-4+anti-PD-1	TREATMENT_DELTA	GSE115821	https://pubmed.ncbi.nlm.nih.gov/30127394/	discovery	TIMER pre/post list; dataset_size=37; pre=14; post=23
timer_gse126044_pre_response	GEO	Non small-cell lung cancer	anti-PD-1	PRE_RESPONSE	GSE126044	https://pubmed.ncbi.nlm.nih.gov/32879421/	discovery	TIMER R/NR list; dataset_size=7; responders=2; nonresponders=5
timer_gse135222_pre_response	GEO	Non small-cell lung cancer	anti-PD-1	PRE_RESPONSE	GSE135222	https://pubmed.ncbi.nlm.nih.gov/31537801/	discovery	TIMER R/NR list; dataset_size=27; responders=8; nonresponders=19
timer_gse145996_pre_response	GEO	Melanoma	anti-PD1	PRE_RESPONSE	GSE145996	https://pubmed.ncbi.nlm.nih.gov/32708981/	discovery	TIMER R/NR list; dataset_size=4; responders=2; nonresponders=2
timer_gse159067_pre_response	GEO	Head and neck squamous cell carcinoma	anti-PD-1/PD-L1	PRE_RESPONSE	GSE159067	https://pubmed.ncbi.nlm.nih.gov/36038492/	discovery	TIMER R/NR list; dataset_size=102; responders=11; nonresponders=91
timer_gse195832_treatment_delta	GEO	Head and neck squamous cell carcinoma	anti-PD-1	TREATMENT_DELTA	GSE195832	https://pubmed.ncbi.nlm.nih.gov/35262677/	discovery	TIMER pre/post list; dataset_size=56; pre=28; post=28
timer_gse202069_treatment_delta	GEO	Hepatocellular carcinoma	anti-PD-1	TREATMENT_DELTA	GSE202069	https://pubmed.ncbi.nlm.nih.gov/35842234/	discovery	TIMER pre/post list; dataset_size=41; pre=17; post=24
timer_gse207422_pre_response	GEO	Non small-cell lung cancer	anti-PD-1	PRE_RESPONSE	GSE207422	https://pubmed.ncbi.nlm.nih.gov/36869384/	discovery	TIMER R/NR list; dataset_size=24; responders=17; nonresponders=7
timer_gse207422_treatment_delta	GEO	Non small-cell lung cancer	anti-PD-1	TREATMENT_DELTA	GSE207422	https://pubmed.ncbi.nlm.nih.gov/36869384/	discovery	TIMER pre/post list; dataset_size=24; pre=3; post=21
timer_gse210287_pre_response	GEO	Head and neck squamous cell carcinoma	anti-PDL1	PRE_RESPONSE	GSE210287	https://pubmed.ncbi.nlm.nih.gov/36385142/	discovery	TIMER R/NR list; dataset_size=22; responders=13; nonresponders=9
timer_gse210287_treatment_delta	GEO	Head and neck squamous cell carcinoma	anti-PDL1	TREATMENT_DELTA	GSE210287	https://pubmed.ncbi.nlm.nih.gov/36385142/	discovery	TIMER pre/post list; dataset_size=22; pre=12; post=10
timer_gse218989_pre_response	GEO	Lung cancer	anti-PD-1/PD-L1	PRE_RESPONSE	GSE218989	https://pubmed.ncbi.nlm.nih.gov/38744958/	discovery	TIMER R/NR list; dataset_size=355; responders=168; nonresponders=187
timer_gse235910_treatment_delta	GEO	Head and neck squamous cell carcinoma	afatinib	TREATMENT_DELTA	GSE235910	https://pubmed.ncbi.nlm.nih.gov/37531234/	discovery	TIMER pre/post list; dataset_size=26; pre=13; post=13
timer_gse67501_pre_response	GEO	Renal cell carcinoma	anti-PD-1	PRE_RESPONSE	GSE67501	https://pubmed.ncbi.nlm.nih.gov/27491898/	discovery	TIMER R/NR list; dataset_size=11; responders=4; nonresponders=7
timer_gse78220_pre_response	GEO	Melanoma	anti-PD-1	PRE_RESPONSE	GSE78220	https://pubmed.ncbi.nlm.nih.gov/28129544/	discovery	TIMER R/NR list; dataset_size=28; responders=15; nonresponders=13
timer_gse91061_pre_response	GEO	Melanoma	anti-PD-1	PRE_RESPONSE	GSE91061	https://pubmed.ncbi.nlm.nih.gov/29033130/	discovery	TIMER R/NR list; dataset_size=109; responders=20; nonresponders=78
timer_gse91061_treatment_delta	GEO	Melanoma	anti-PD-1	TREATMENT_DELTA	GSE91061	https://pubmed.ncbi.nlm.nih.gov/29033130/	discovery	TIMER pre/post list; dataset_size=109; pre=51; post=58
timer_gse93157_pre_response	GEO	Non small-cell lung cancer	anti-PD-1	PRE_RESPONSE	GSE93157	https://pubmed.ncbi.nlm.nih.gov/28487385/	discovery	TIMER R/NR list; dataset_size=22; responders=6; nonresponders=16
timer_gse96619_treatment_delta	GEO	Melanoma	anti-PD-1	TREATMENT_DELTA	GSE96619	https://pubmed.ncbi.nlm.nih.gov/28494868/	discovery	TIMER pre/post list; dataset_size=10; pre=5; post=5
timer_imvigor210_pre_response	Publication/Controlled	Bladder Urothelial Carcinoma	anti-PD-1	PRE_RESPONSE	IMvigor210	https://pubmed.ncbi.nlm.nih.gov/27939400/	discovery	TIMER R/NR list; dataset_size=348; responders=68; nonresponders=230
timer_medi4736_pre_response	Publication/Controlled	Breast cancer	anti-PD-L1+Chemotherapy	PRE_RESPONSE	MEDI4736	https://pubmed.ncbi.nlm.nih.gov/35377948/	discovery	TIMER R/NR list; dataset_size=55; responders=25; nonresponders=30
timer_nct02032277_pre_response	ClinicalTrials/Publication	Breast cancer	Veliparib + Carboplatin	PRE_RESPONSE	NCT02032277	https://pubmed.ncbi.nlm.nih.gov/35093516/	discovery	TIMER R/NR list; dataset_size=482; responders=236; nonresponders=246
timer_nathanson_2017_pre_response	Publication/Controlled	Melanoma	anti-CTLA-4	PRE_RESPONSE	Nathanson_2017	https://pubmed.ncbi.nlm.nih.gov/27956380/	discovery	TIMER R/NR list; dataset_size=24; responders=8; nonresponders=16
timer_nathanson_2017_treatment_delta	Publication/Controlled	Melanoma	anti-CTLA-4	TREATMENT_DELTA	Nathanson_2017	https://pubmed.ncbi.nlm.nih.gov/27956380/	discovery	TIMER pre/post list; dataset_size=24; pre=9; post=15
timer_prjeb23709_pre_response	SRA/BioProject	Melanoma	anti-CTLA-4+anti-PD-1	PRE_RESPONSE	PRJEB23709	https://pubmed.ncbi.nlm.nih.gov/30753825/	discovery	TIMER R/NR list; dataset_size=91; responders=49; nonresponders=42
timer_prjeb23709_treatment_delta	SRA/BioProject	Melanoma	anti-CTLA-4+anti-PD-1	TREATMENT_DELTA	PRJEB23709	https://pubmed.ncbi.nlm.nih.gov/30753825/	discovery	TIMER pre/post list; dataset_size=91; pre=73; post=18
timer_prjeb25780_pre_response	SRA/BioProject	Stomach adenocarcinoma	anti-PD-1	PRE_RESPONSE	PRJEB25780	https://pubmed.ncbi.nlm.nih.gov/30013197/	discovery	TIMER R/NR list; dataset_size=78; responders=21; nonresponders=57
timer_prjna482620_pre_response	SRA/BioProject	Glioblastoma	anti-PD-1	PRE_RESPONSE	PRJNA482620	https://pubmed.ncbi.nlm.nih.gov/30996326/	discovery	TIMER R/NR list; dataset_size=34; responders=17; nonresponders=17
timer_phs000452_pre_response	dbGaP/Publication	Melanoma	anti-PD-1	PRE_RESPONSE	phs000452	https://pubmed.ncbi.nlm.nih.gov/26359337/	discovery	TIMER R/NR list; dataset_size=153; responders=63; nonresponders=90
