source_identifier	identifier_type	discovery_origin	reported_modality	candidate_role	admission_status	eligible_patient_n	original_study_id	patient_pairing_status
GSE176307	catalogue_label	ICBatlas_Figure1	expression_assay_to_resolve	ICI_source_audit; TCGA requires specific treated-subset provenance	unverified_candidate			not_verified
GSE111636	catalogue_label	ICBatlas_Figure1	expression_assay_to_resolve	ICI_source_audit; TCGA requires specific treated-subset provenance	unverified_candidate			not_verified
GSE67501	catalogue_label	ICBatlas_Figure1	expression_assay_to_resolve	ICI_source_audit; TCGA requires specific treated-subset provenance	unverified_candidate			not_verified
GSE93157	catalogue_label	ICBatlas_Figure1	expression_assay_to_resolve	ICI_source_audit; TCGA requires specific treated-subset provenance	unverified_candidate			not_verified
GSE122220	catalogue_label	ICBatlas_Figure1	expression_assay_to_resolve	ICI_source_audit; TCGA requires specific treated-subset provenance	unverified_candidate			not_verified
GSE136961	catalogue_label	ICBatlas_Figure1	expression_assay_to_resolve	ICI_source_audit; TCGA requires specific treated-subset provenance	unverified_candidate			not_verified
GSE140901	catalogue_label	ICBatlas_Figure1	expression_assay_to_resolve	ICI_source_audit; TCGA requires specific treated-subset provenance	unverified_candidate			not_verified
GSE99070	catalogue_label	ICBatlas_Figure1	expression_assay_to_resolve	ICI_source_audit; TCGA requires specific treated-subset provenance	unverified_candidate			not_verified
SRP128156	catalogue_label	ICBatlas_Figure1	expression_assay_to_resolve	ICI_source_audit; TCGA requires specific treated-subset provenance	unverified_candidate			not_verified
SRP011540	catalogue_label	ICBatlas_Figure1	expression_assay_to_resolve	ICI_source_audit; TCGA requires specific treated-subset provenance	unverified_candidate			not_verified
SRP094781	catalogue_label	ICBatlas_Figure1	expression_assay_to_resolve	ICI_source_audit; TCGA requires specific treated-subset provenance	unverified_candidate			not_verified
SRP230414	catalogue_label	ICBatlas_Figure1	expression_assay_to_resolve	ICI_source_audit; TCGA requires specific treated-subset provenance	unverified_candidate			not_verified
ERP105482	catalogue_label	ICBatlas_Figure1	expression_assay_to_resolve	ICI_source_audit; TCGA requires specific treated-subset provenance	unverified_candidate			not_verified
SRP070710	catalogue_label	ICBatlas_Figure1	expression_assay_to_resolve	ICI_source_audit; TCGA requires specific treated-subset provenance	unverified_candidate			not_verified
SRP150548	catalogue_label	ICBatlas_Figure1	expression_assay_to_resolve	ICI_source_audit; TCGA requires specific treated-subset provenance	unverified_candidate			not_verified
SRP250849	catalogue_label	ICBatlas_Figure1	expression_assay_to_resolve	ICI_source_audit; TCGA requires specific treated-subset provenance	unverified_candidate			not_verified
SRP302761	catalogue_label	ICBatlas_Figure1	expression_assay_to_resolve	ICI_source_audit; TCGA requires specific treated-subset provenance	unverified_candidate			not_verified
SRP183455	catalogue_label	ICBatlas_Figure1	expression_assay_to_resolve	ICI_source_audit; TCGA requires specific treated-subset provenance	unverified_candidate			not_verified
SRP217040	catalogue_label	ICBatlas_Figure1	expression_assay_to_resolve	ICI_source_audit; TCGA requires specific treated-subset provenance	unverified_candidate			not_verified
ERP107734	catalogue_label	ICBatlas_Figure1	expression_assay_to_resolve	ICI_source_audit; TCGA requires specific treated-subset provenance	unverified_candidate			not_verified
SRP155030	catalogue_label	ICBatlas_Figure1	expression_assay_to_resolve	ICI_source_audit; TCGA requires specific treated-subset provenance	unverified_candidate			not_verified
IMvigor210	catalogue_label	ICBatlas_Figure1	expression_assay_to_resolve	ICI_source_audit; TCGA requires specific treated-subset provenance	unverified_candidate			not_verified
PMID:32472114	catalogue_label	ICBatlas_Figure1	expression_assay_to_resolve	ICI_source_audit; TCGA requires specific treated-subset provenance	unverified_candidate			not_verified
PMID:33806963	catalogue_label	ICBatlas_Figure1	expression_assay_to_resolve	ICI_source_audit; TCGA requires specific treated-subset provenance	unverified_candidate			not_verified
TCGA	catalogue_label	ICBatlas_Figure1	expression_assay_to_resolve	ICI_source_audit; TCGA requires specific treated-subset provenance	unverified_candidate			not_verified
GSE100797	legacy_registry_label	NMRbox_47_row_registry	to_verify	audit_regimen_endpoint_timing_aliases_prior_exposure	unverified_candidate			not_verified
GSE106128	legacy_registry_label	NMRbox_47_row_registry	to_verify	audit_regimen_endpoint_timing_aliases_prior_exposure	unverified_candidate			not_verified
GSE115821	legacy_registry_label	NMRbox_47_row_registry	to_verify	audit_regimen_endpoint_timing_aliases_prior_exposure	unverified_candidate			not_verified
GSE126044	legacy_registry_label	NMRbox_47_row_registry	to_verify	audit_regimen_endpoint_timing_aliases_prior_exposure	unverified_candidate			not_verified
GSE126045	legacy_registry_label	NMRbox_47_row_registry	to_verify	audit_regimen_endpoint_timing_aliases_prior_exposure	unverified_candidate			not_verified
GSE135222	legacy_registry_label	NMRbox_47_row_registry	to_verify	audit_regimen_endpoint_timing_aliases_prior_exposure	unverified_candidate			not_verified
GSE136961	legacy_registry_label	NMRbox_47_row_registry	to_verify	audit_regimen_endpoint_timing_aliases_prior_exposure	unverified_candidate			not_verified
GSE145996	legacy_registry_label	NMRbox_47_row_registry	to_verify	audit_regimen_endpoint_timing_aliases_prior_exposure	unverified_candidate			not_verified
GSE159067	legacy_registry_label	NMRbox_47_row_registry	to_verify	audit_regimen_endpoint_timing_aliases_prior_exposure	unverified_candidate			not_verified
GSE165278	legacy_registry_label	NMRbox_47_row_registry	to_verify	audit_regimen_endpoint_timing_aliases_prior_exposure	unverified_candidate			not_verified
GSE176307	legacy_registry_label	NMRbox_47_row_registry	to_verify	audit_regimen_endpoint_timing_aliases_prior_exposure	unverified_candidate			not_verified
GSE195832	legacy_registry_label	NMRbox_47_row_registry	to_verify	audit_regimen_endpoint_timing_aliases_prior_exposure	unverified_candidate			not_verified
GSE202069	legacy_registry_label	NMRbox_47_row_registry	to_verify	audit_regimen_endpoint_timing_aliases_prior_exposure	unverified_candidate			not_verified
GSE207422	legacy_registry_label	NMRbox_47_row_registry	to_verify	audit_regimen_endpoint_timing_aliases_prior_exposure	unverified_candidate			not_verified
GSE210287	legacy_registry_label	NMRbox_47_row_registry	to_verify	audit_regimen_endpoint_timing_aliases_prior_exposure	unverified_candidate			not_verified
GSE215011	legacy_registry_label	NMRbox_47_row_registry	to_verify	audit_regimen_endpoint_timing_aliases_prior_exposure	unverified_candidate			not_verified
GSE218989	legacy_registry_label	NMRbox_47_row_registry	to_verify	audit_regimen_endpoint_timing_aliases_prior_exposure	unverified_candidate			not_verified
GSE222932	legacy_registry_label	NMRbox_47_row_registry	to_verify	audit_regimen_endpoint_timing_aliases_prior_exposure	unverified_candidate			not_verified
GSE222934	legacy_registry_label	NMRbox_47_row_registry	to_verify	audit_regimen_endpoint_timing_aliases_prior_exposure	unverified_candidate			not_verified
GSE235910	legacy_registry_label	NMRbox_47_row_registry	to_verify	audit_regimen_endpoint_timing_aliases_prior_exposure	unverified_candidate			not_verified
GSE235919	legacy_registry_label	NMRbox_47_row_registry	to_verify	audit_regimen_endpoint_timing_aliases_prior_exposure	unverified_candidate			not_verified
GSE289583	legacy_registry_label	NMRbox_47_row_registry	to_verify	audit_regimen_endpoint_timing_aliases_prior_exposure	unverified_candidate			not_verified
GSE305240	legacy_registry_label	NMRbox_47_row_registry	to_verify	audit_regimen_endpoint_timing_aliases_prior_exposure	unverified_candidate			not_verified
GSE305511	legacy_registry_label	NMRbox_47_row_registry	to_verify	audit_regimen_endpoint_timing_aliases_prior_exposure	unverified_candidate			not_verified
GSE306800	legacy_registry_label	NMRbox_47_row_registry	to_verify	audit_regimen_endpoint_timing_aliases_prior_exposure	unverified_candidate			not_verified
GSE67501	legacy_registry_label	NMRbox_47_row_registry	to_verify	audit_regimen_endpoint_timing_aliases_prior_exposure	unverified_candidate			not_verified
GSE78220	legacy_registry_label	NMRbox_47_row_registry	to_verify	audit_regimen_endpoint_timing_aliases_prior_exposure	unverified_candidate			not_verified
GSE91061	legacy_registry_label	NMRbox_47_row_registry	to_verify	audit_regimen_endpoint_timing_aliases_prior_exposure	unverified_candidate			not_verified
GSE93157	legacy_registry_label	NMRbox_47_row_registry	to_verify	audit_regimen_endpoint_timing_aliases_prior_exposure	unverified_candidate			not_verified
