policy_id	gene_symbol	probe_id
gencode36_positive_CDS_span_abs1500	B2M	cg00079638
gencode36_positive_CDS_span_abs1500	B2M	cg00837838
gencode36_positive_CDS_span_abs1500	B2M	cg03355298
gencode36_positive_CDS_span_abs1500	B2M	cg07192821
gencode36_positive_CDS_span_abs1500	B2M	cg08188779
gencode36_positive_CDS_span_abs1500	B2M	cg08350173
gencode36_positive_CDS_span_abs1500	B2M	cg08459087
gencode36_positive_CDS_span_abs1500	B2M	cg10081723
gencode36_positive_CDS_span_abs1500	B2M	cg13964393
gencode36_positive_CDS_span_abs1500	B2M	cg16039157
gencode36_positive_CDS_span_abs1500	B2M	cg18555073
gencode36_positive_CDS_span_abs1500	B2M	cg18696027
gencode36_positive_CDS_span_abs1500	B2M	cg19404757
gencode36_positive_CDS_span_abs1500	B2M	cg24134304
gencode36_positive_CDS_span_abs1500	HLA-A	cg14018363
gencode36_positive_CDS_span_abs1500	HLA-A	cg16742075
gencode36_positive_CDS_span_abs1500	HLA-A	cg19151378
gencode36_positive_CDS_span_abs1500	HLA-B	cg01035015
gencode36_positive_CDS_span_abs1500	HLA-B	cg06646969
gencode36_positive_CDS_span_abs1500	HLA-B	cg12730088
gencode36_positive_CDS_span_abs1500	HLA-B	cg15454374
gencode36_positive_CDS_span_abs1500	HLA-B	cg17554194
gencode36_positive_CDS_span_abs1500	HLA-B	cg17731992
gencode36_positive_CDS_span_abs1500	HLA-B	cg23923934
gencode36_positive_CDS_span_abs1500	HLA-B	cg27529346
gencode36_positive_CDS_span_abs1500	HLA-C	cg05030953
gencode36_positive_CDS_span_abs1500	HLA-C	cg05619024
gencode36_positive_CDS_span_abs1500	HLA-C	cg08309069
gencode36_positive_CDS_span_abs1500	HLA-C	cg09970392
gencode36_positive_CDS_span_abs1500	HLA-C	cg10409680
gencode36_positive_CDS_span_abs1500	HLA-C	cg14972843
gencode36_positive_CDS_span_abs1500	HLA-C	cg17096289
gencode36_positive_CDS_span_abs1500	HLA-C	cg17974398
gencode36_positive_CDS_span_abs1500	HLA-C	cg18020334
gencode36_positive_CDS_span_abs1500	HLA-C	cg24877963
gencode36_positive_CDS_span_abs1500	PSMB8	cg00533183
gencode36_positive_CDS_span_abs1500	PSMB8	cg00777968
gencode36_positive_CDS_span_abs1500	PSMB8	cg00889031
gencode36_positive_CDS_span_abs1500	PSMB8	cg01295600
gencode36_positive_CDS_span_abs1500	PSMB8	cg01309328
gencode36_positive_CDS_span_abs1500	PSMB8	cg01702338
gencode36_positive_CDS_span_abs1500	PSMB8	cg02657012
gencode36_positive_CDS_span_abs1500	PSMB8	cg02756056
gencode36_positive_CDS_span_abs1500	PSMB8	cg03166550
gencode36_positive_CDS_span_abs1500	PSMB8	cg03995852
gencode36_positive_CDS_span_abs1500	PSMB8	cg05115162
gencode36_positive_CDS_span_abs1500	PSMB8	cg05135714
gencode36_positive_CDS_span_abs1500	PSMB8	cg05242261
gencode36_positive_CDS_span_abs1500	PSMB8	cg05545172
gencode36_positive_CDS_span_abs1500	PSMB8	cg05629721
gencode36_positive_CDS_span_abs1500	PSMB8	cg05693489
gencode36_positive_CDS_span_abs1500	PSMB8	cg05697726
gencode36_positive_CDS_span_abs1500	PSMB8	cg05872513
gencode36_positive_CDS_span_abs1500	PSMB8	cg06531943
gencode36_positive_CDS_span_abs1500	PSMB8	cg06870868
gencode36_positive_CDS_span_abs1500	PSMB8	cg07456831
gencode36_positive_CDS_span_abs1500	PSMB8	cg08099136
gencode36_positive_CDS_span_abs1500	PSMB8	cg08675092
gencode36_positive_CDS_span_abs1500	PSMB8	cg08772265
gencode36_positive_CDS_span_abs1500	PSMB8	cg09006592
gencode36_positive_CDS_span_abs1500	PSMB8	cg09154880
gencode36_positive_CDS_span_abs1500	PSMB8	cg09354037
gencode36_positive_CDS_span_abs1500	PSMB8	cg10087598
gencode36_positive_CDS_span_abs1500	PSMB8	cg10128166
gencode36_positive_CDS_span_abs1500	PSMB8	cg10192196
gencode36_positive_CDS_span_abs1500	PSMB8	cg11453837
gencode36_positive_CDS_span_abs1500	PSMB8	cg11706729
