policy_id	gene_symbol	probe_id
pc_abs1500	HLA-A	cg14018363
pc_abs1500	HLA-A	cg16742075
pc_abs1500	HLA-A	cg19151378
pc_abs1500	HLA-B	cg01035015
pc_abs1500	HLA-B	cg06646969
pc_abs1500	HLA-B	cg12730088
pc_abs1500	HLA-B	cg15454374
pc_abs1500	HLA-B	cg17554194
pc_abs1500	HLA-B	cg17731992
pc_abs1500	HLA-B	cg23923934
pc_abs1500	HLA-B	cg27529346
pc_abs1500	HLA-C	cg05030953
pc_abs1500	HLA-C	cg05619024
pc_abs1500	HLA-C	cg08309069
pc_abs1500	HLA-C	cg09970392
pc_abs1500	HLA-C	cg10409680
pc_abs1500	HLA-C	cg13872627
pc_abs1500	HLA-C	cg14972843
pc_abs1500	HLA-C	cg17096289
pc_abs1500	HLA-C	cg17974398
pc_abs1500	HLA-C	cg18020334
pc_abs1500	HLA-C	cg24710520
pc_abs1500	HLA-C	cg24877963
pc_abs1500	B2M	cg00079638
pc_abs1500	B2M	cg00837838
pc_abs1500	B2M	cg03355298
pc_abs1500	B2M	cg07192821
pc_abs1500	B2M	cg08188779
pc_abs1500	B2M	cg08350173
pc_abs1500	B2M	cg08459087
pc_abs1500	B2M	cg10081723
pc_abs1500	B2M	cg13964393
pc_abs1500	B2M	cg16039157
pc_abs1500	B2M	cg18555073
pc_abs1500	B2M	cg18696027
pc_abs1500	B2M	cg19404757
pc_abs1500	B2M	cg24134304
pc_abs1500	TAP1	cg00240875
pc_abs1500	TAP1	cg00704844
pc_abs1500	TAP1	cg01170201
pc_abs1500	TAP1	cg01255458
pc_abs1500	TAP1	cg01547742
pc_abs1500	TAP1	cg01673307
pc_abs1500	TAP1	cg01692674
pc_abs1500	TAP1	cg01897517
pc_abs1500	TAP1	cg01979171
pc_abs1500	TAP1	cg02181920
pc_abs1500	TAP1	cg02351231
pc_abs1500	TAP1	cg02551145
pc_abs1500	TAP1	cg03299066
pc_abs1500	TAP1	cg03465320
pc_abs1500	TAP1	cg03778035
pc_abs1500	TAP1	cg03807983
pc_abs1500	TAP1	cg04773990
pc_abs1500	TAP1	cg05262533
pc_abs1500	TAP1	cg05362405
pc_abs1500	TAP1	cg05412855
pc_abs1500	TAP1	cg05412930
pc_abs1500	TAP1	cg05480623
pc_abs1500	TAP1	cg05826626
pc_abs1500	TAP1	cg06473288
pc_abs1500	TAP1	cg06634056
pc_abs1500	TAP1	cg06852255
pc_abs1500	TAP1	cg07156249
pc_abs1500	TAP1	cg07250080
pc_abs1500	TAP1	cg07504780
pc_abs1500	TAP1	cg08151204
pc_abs1500	TAP1	cg08351785
pc_abs1500	TAP1	cg08818207
pc_abs1500	TAP1	cg08880054
pc_abs1500	TAP1	cg09374375
pc_abs1500	TAP1	cg09968749
pc_abs1500	TAP1	cg10666909
pc_abs1500	TAP1	cg11012835
pc_abs1500	TAP1	cg11313335
pc_abs1500	TAP1	cg12499157
pc_abs1500	TAP1	cg12641838
pc_abs1500	TAP1	cg12762680
pc_abs1500	TAP1	cg12862002
pc_abs1500	TAP1	cg13403689
pc_abs1500	TAP1	cg14272068
pc_abs1500	TAP1	cg14286550
pc_abs1500	TAP1	cg14293027
pc_abs1500	TAP1	cg14530528
pc_abs1500	TAP1	cg14925994
pc_abs1500	TAP1	cg15926590
pc_abs1500	TAP1	cg15993458
pc_abs1500	TAP1	cg16494397
pc_abs1500	TAP1	cg16501436
pc_abs1500	TAP1	cg16853860
pc_abs1500	TAP1	cg17199468
pc_abs1500	TAP1	cg17378691
pc_abs1500	TAP1	cg17626301
pc_abs1500	TAP1	cg17973694
pc_abs1500	TAP1	cg18436324
pc_abs1500	TAP1	cg18903583
pc_abs1500	TAP1	cg19776032
pc_abs1500	TAP1	cg20194454
pc_abs1500	TAP1	cg20357228
pc_abs1500	TAP1	cg20813491
pc_abs1500	TAP1	cg20880499
pc_abs1500	TAP1	cg21339176
pc_abs1500	TAP1	cg22696542
pc_abs1500	TAP1	cg23132351
pc_abs1500	TAP1	cg23228341
pc_abs1500	TAP1	cg23806084
pc_abs1500	TAP1	cg23880953
pc_abs1500	TAP1	cg23922920
pc_abs1500	TAP1	cg24111025
pc_abs1500	TAP1	cg24154161
pc_abs1500	TAP1	cg24718356
pc_abs1500	TAP1	cg25110511
pc_abs1500	TAP1	cg25110530
pc_abs1500	TAP1	cg25524784
pc_abs1500	TAP1	cg26033526
pc_abs1500	TAP1	cg26234900
pc_abs1500	TAP1	cg26686999
pc_abs1500	TAP1	cg26700949
pc_abs1500	TAP1	cg27572016
pc_abs1500	TAP1	cg27652200
pc_abs1500	TAP2	cg00340328
pc_abs1500	TAP2	cg00720839
pc_abs1500	TAP2	cg00857968
pc_abs1500	TAP2	cg01283574
pc_abs1500	TAP2	cg02151752
pc_abs1500	TAP2	cg02670545
pc_abs1500	TAP2	cg02779707
pc_abs1500	TAP2	cg03026929
pc_abs1500	TAP2	cg03438552
pc_abs1500	TAP2	cg03544736
pc_abs1500	TAP2	cg05108547
pc_abs1500	TAP2	cg05420994
pc_abs1500	TAP2	cg05689267
pc_abs1500	TAP2	cg05729731
pc_abs1500	TAP2	cg06771056
pc_abs1500	TAP2	cg07015256
pc_abs1500	TAP2	cg07023208
pc_abs1500	TAP2	cg07353306
pc_abs1500	TAP2	cg07543055
pc_abs1500	TAP2	cg07546106
pc_abs1500	TAP2	cg08557029
pc_abs1500	TAP2	cg08998192
pc_abs1500	TAP2	cg09187413
pc_abs1500	TAP2	cg09351471
pc_abs1500	TAP2	cg09871008
pc_abs1500	TAP2	cg10088320
pc_abs1500	TAP2	cg10924050
pc_abs1500	TAP2	cg11439192
pc_abs1500	TAP2	cg11668794
pc_abs1500	TAP2	cg11709793
pc_abs1500	TAP2	cg11752829
pc_abs1500	TAP2	cg11752893
pc_abs1500	TAP2	cg12180249
pc_abs1500	TAP2	cg12644497
pc_abs1500	TAP2	cg12761728
pc_abs1500	TAP2	cg12854186
pc_abs1500	TAP2	cg13347198
pc_abs1500	TAP2	cg13477582
pc_abs1500	TAP2	cg13563634
pc_abs1500	TAP2	cg13600652
pc_abs1500	TAP2	cg13871037
pc_abs1500	TAP2	cg14493899
pc_abs1500	TAP2	cg14812313
pc_abs1500	TAP2	cg14867383
pc_abs1500	TAP2	cg15672065
pc_abs1500	TAP2	cg16026549
pc_abs1500	TAP2	cg16855458
pc_abs1500	TAP2	cg16951654
pc_abs1500	TAP2	cg17253307
pc_abs1500	TAP2	cg17670640
pc_abs1500	TAP2	cg18511153
pc_abs1500	TAP2	cg18607757
pc_abs1500	TAP2	cg19221044
pc_abs1500	TAP2	cg19655544
pc_abs1500	TAP2	cg19887824
pc_abs1500	TAP2	cg20366633
pc_abs1500	TAP2	cg20558646
pc_abs1500	TAP2	cg20724405
pc_abs1500	TAP2	cg20898522
pc_abs1500	TAP2	cg21359558
pc_abs1500	TAP2	cg21396998
pc_abs1500	TAP2	cg21780812
pc_abs1500	TAP2	cg22230640
pc_abs1500	TAP2	cg22940798
pc_abs1500	TAP2	cg23059310
pc_abs1500	TAP2	cg23560159
pc_abs1500	TAP2	cg24364491
pc_abs1500	TAP2	cg24813704
pc_abs1500	TAP2	cg25728415
