gene_symbol	transcript_id_versioned	manifest_transcriptTypes_literal	strand	txStart_0based	txEnd_exclusive	cdsStart	cdsEnd	positive_CDS_span	source_distance_anchor
B2M	ENST00000349264.10	protein_coding	+	44711516	44718067	44711546	44715662	True	44711516
B2M	ENST00000544417.5	protein_coding	+	44711486	44718159	44711546	44716342	True	44711486
B2M	ENST00000557901.5	protein_coding	+	44711518	44717622	44711546	44715522	True	44711518
B2M	ENST00000559220.1	protein_coding	+	44714506	44718144	44714506	44714506	False	44714506
B2M	ENST00000559720.5	protein_coding	+	44711486	44717765	44711486	44711486	False	44711486
B2M	ENST00000559907.5	protein_coding	+	44711926	44717704	44711926	44711926	False	44711926
B2M	ENST00000559916.1	protein_coding	+	44711512	44717029	44711546	44716342	True	44711512
B2M	ENST00000560556.1	protein_coding	+	44715725	44716939	44715725	44715725	False	44715725
B2M	ENST00000560681.1	protein_coding	+	44711958	44716559	44711958	44711958	False	44711958
B2M	ENST00000561139.1	protein_coding	+	44715499	44718145	44715499	44716342	True	44715499
B2M	ENST00000561424.5	protein_coding	+	44711508	44718851	44711546	44716342	True	44711508
B2M	ENST00000623550.1	protein_coding	+	44715816	44718145	44715816	44715816	False	44715816
B2M	ENST00000632133.1	protein_coding	+	44712776	44715179	44712776	44712776	False	44712776
B2M	ENST00000648006.3	protein_coding	+	44711516	44718145	44711546	44716342	True	44711516
HLA-A	ENST00000376802.2	protein_coding	+	29942548	29945884	29942553	29945455	True	29942548
HLA-A	ENST00000376806.9	protein_coding	+	29942244	29945884	29942553	29945455	True	29942244
HLA-A	ENST00000376809.10	protein_coding	+	29942531	29945870	29942553	29945455	True	29942531
HLA-A	ENST00000396634.5	protein_coding	+	29941259	29945884	29942553	29945455	True	29941259
HLA-A	ENST00000461903.1	protein_coding	+	29942553	29945281	29942553	29942553	False	29942553
HLA-A	ENST00000479320.5	protein_coding	+	29942553	29945281	29942553	29942553	False	29942553
HLA-A	ENST00000495183.5	protein_coding	+	29942551	29945884	29942551	29942551	False	29942551
HLA-A	ENST00000496081.5	protein_coding	+	29942547	29945884	29942547	29942547	False	29942547
HLA-A	ENST00000638375.1	protein_coding	+	29942553	29945280	29942553	29945280	True	29942553
HLA-B	ENST00000412585.7	protein_coding	-	31353874	31357179	31354482	31357158	True	31357179
HLA-B	ENST00000434333.1	protein_coding	-	31355506	31357188	31355506	31357063	True	31357188
HLA-B	ENST00000463574.1	protein_coding	-	31355121	31355802	31355121	31355121	False	31355802
HLA-B	ENST00000474381.1	protein_coding	-	31355521	31356905	31355521	31355521	False	31356905
HLA-B	ENST00000481849.5	protein_coding	-	31353871	31354806	31353871	31353871	False	31354806
HLA-B	ENST00000497377.5	protein_coding	-	31353871	31355076	31353871	31353871	False	31355076
HLA-B	ENST00000498007.1	protein_coding	-	31355390	31357179	31355390	31355390	False	31357179
HLA-B	ENST00000639848.1	protein_coding	-	31354479	31357158	31354479	31357158	True	31357158
HLA-B	ENST00000640094.1	protein_coding	-	31354500	31355404	31354500	31355404	True	31355404
HLA-C	ENST00000376228.9	protein_coding	-	31268748	31272086	31269168	31272071	True	31272086
HLA-C	ENST00000376237.8	protein_coding	-	31268748	31272105	31271278	31272071	True	31272105
HLA-C	ENST00000383329.7	protein_coding	-	31268748	31272086	31269168	31272071	True	31272086
HLA-C	ENST00000415537.1	protein_coding	-	31270213	31272069	31270213	31272069	True	31272069
